Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,52WeekHigh,52WeekLow,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,FirstBuyDate,LastBuyDate,FirstBuyPrice,LastBuyPrice,WeightedAvgBuyPrice,AccumulationDays,DaysSinceFirstBuy,DaysSinceLastBuy,BuyTxn7D,BuyTxn15D,BuyTxn30D,BuyTxn60D,BuyTxn90D,BuyValue7D,BuyValue15D,BuyValue30D,BuyValue60D,BuyValue90D,NetBuyValue7D,NetBuyValue30D,UniquePromotersBuying,UniquePromotersSelling,BuyAcceleration,Freshness,AccumulationStage,PromoterAvgPrice,CMPvsPromoterAvgPct,SignalStage,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
ASTERDM,Aster DM Quality Care Limited,3795783565.0,4996797.0,3,02-09-2026,4996797.0,3,3795783565.0,759.64,0.0,0,379.58,3795783565.0,0.0,3795783565.0,0.0,False,False,False,780.35,891.3,519.1,41.88,801.5,700.86,16.0,2.7,2.7,31-08-2026,02-09-2026,752.1587952705815,760.0,759.6433405239396,2,10,8,0,3,3,3,3,0.0,3795783565.0,3795783565.0,3795783565.0,3795783565.0,0.0,3795783565.0,1,0,0.0,Active,Confirmed Accumulation,759.6433405239396,2.7,Confirmed Accumulation,68021.0,220.0,15.0,147.0,-4.0,-0.28,10.9,0.43,True,20.0,0.558,20,14,20,-3,51,Buy on Breakout
MSPL,MSP STEEL & POWER LIMITED,1019689453.0,24335849.0,22,22-06-2026,24335849.0,22,1019689453.0,41.9,0.0,0,101.97,1019689453.0,0.0,1019689453.0,0.0,False,False,False,34.43,46.12,26.25,41.61,36.26,35.69,9.9,-17.8,17.8,04-06-2026,22-06-2026,41.3769,44.71879963320128,41.99769785024887,18,98,80,0,0,0,0,27,0.0,0.0,0.0,0.0,1105365026.0,0.0,0.0,6,0,0.0,Stale,Stale Accumulation,41.99769785024887,-18.0,Late — Poor Entry,1951.0,14.0,4.0,53.0,890.0,0.39,9.71,0.31,True,6.0,5.227,20,21,10,0,51,Buy on Breakout
IRB,IRB INFRASTRUCTURE DEVELOPERS LIMITED,864971904.0,44391600.0,4,03-09-2026,44391600.0,4,864971904.0,19.49,0.0,0,86.5,864971904.0,0.0,864971904.0,0.0,False,False,False,19.07,23.95,18.76,34.39,19.71,29.96,-53.2,-2.2,2.2,31-08-2026,03-09-2026,19.436620666666666,19.82350724502777,19.4850355472657,3,10,7,0,4,4,4,4,0.0,864971904.0,864971904.0,864971904.0,864971904.0,0.0,864971904.0,1,0,0.0,Fresh,Early Accumulation,19.4850355472657,-2.1,Early Accumulation,23033.0,20.3,-11.0,452.0,30.0,0.22,7.28,0.74,False,37.0,0.376,20,12,0,0,32,Fundamental Watch
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,823889900.0,11320110.0,9,26-08-2026,11320110.0,9,823889900.0,72.78,0.0,0,82.39,823889900.0,0.0,823889900.0,0.0,False,False,False,90.66,91.3,28.06,61.32,77.33,53.68,204.9,24.6,24.6,19-06-2026,26-08-2026,70.67,80.74,72.54271810256775,68,83,15,0,0,4,4,12,0.0,0.0,495980620.0,495980620.0,1205171980.0,0.0,495980620.0,2,0,0.0,Active,Confirmed Accumulation,72.54271810256775,25.0,Late — Poor Entry,3012.0,23.6,75.0,136.0,54.0,1.83,10.9,0.4,True,6.0,2.735,20,26,30,0,76,Strong Buy Setup
DIAMONDYD,Prataap Snacks Limited,595794044.0,507506.0,4,07-08-2026,507506.0,4,595794044.0,1173.96,0.0,0,59.58,595794044.0,0.0,595794044.0,0.0,False,False,False,1123.6,1245.0,858.9,69.75,1167.8,1087.57,13.5,-4.3,4.3,25-06-2026,07-08-2026,1090.0,1179.860001898032,1173.9645324390253,43,77,34,0,0,0,3,4,0.0,0.0,0.0,586966134.0,595794044.0,0.0,0.0,1,0,0.0,Aging,Mature Accumulation,1173.9645324390253,-4.3,Mature — Wait for Pullback,2689.0,211.0,6.0,19.05,194.0,1.03,3.17,0.06,True,3.87,2.216,25,21,15,-5,56,Buy on Breakout
THOMASCOOK,THOMAS COOK (INDIA) LIMITED,483974535.0,4427617.0,4,11-06-2026,4427617.0,4,483974535.0,109.31,0.0,0,48.4,483974535.0,0.0,483974535.0,0.0,False,False,False,109.13,181.2,86.35,72.34,105.28,112.44,18.4,-0.2,0.2,08-06-2026,11-06-2026,103.75710020989752,107.94740176620421,109.30813008442239,3,94,91,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,109.30813008442239,-0.2,Late — Poor Entry,5133.0,41.2,0.0,42.0,8.0,1.25,9.71,0.06,True,5.0,0.943,25,14,10,0,49,Watchlist
JSL,JINDAL STAINLESS LIMITED,474522751.0,641817.0,1,04-09-2026,641817.0,1,474522751.0,739.34,0.0,0,47.45,474522751.0,0.0,474522751.0,0.0,False,False,False,783.3,884.0,652.25,57.94,724.85,749.1,4.1,5.9,5.9,04-09-2026,04-09-2026,739.3427581382232,739.3427581382232,739.3427581382232,0,6,6,3,3,3,3,3,1423568253.0,1423568253.0,1423568253.0,1423568253.0,1423568253.0,1423568253.0,1423568253.0,1,0,1.0,Fresh,Early Accumulation,739.3427581382232,5.9,Early Accumulation,64577.0,24.1,5.0,1028.0,1.0,7.35,18.0,0.24,True,10.0,0.073,12,18,20,0,50,Buy on Breakout
NIITLTD,NIIT Limited,285079344.0,2893000.0,12,31-08-2026,2893000.0,12,285079344.0,98.54,0.0,0,28.51,285079344.0,0.0,285079344.0,0.0,False,False,False,94.99,116.4,49.0,34.81,97.8,83.71,45.7,-3.6,3.6,08-06-2026,31-08-2026,93.30641025641026,106.77,98.54107984790875,84,94,10,0,4,8,8,8,0.0,84714461.0,142851469.0,142851469.0,142851469.0,0.0,142851469.0,2,0,0.0,Active,Confirmed Accumulation,98.54107984790875,-3.6,Confirmed Accumulation,1301.0,157.0,34.0,-2.0,-78.0,0.79,-0.32,0.0,False,-2.2,2.191,20,8,15,-5,38,Fundamental Watch
SUMEETINDS,SUMEET INDUSTRIES LIMITED,235458000.0,15900000.0,5,14-08-2026,15900000.0,5,235458000.0,14.81,0.0,0,23.55,235458000.0,0.0,235458000.0,0.0,False,False,False,11.28,35.67,11.09,21.07,21.23,26.83,-63.2,-23.8,23.8,12-08-2026,14-08-2026,14.82,14.64,14.808679245283018,2,29,27,0,0,5,5,5,0.0,0.0,235458000.0,235458000.0,235458000.0,0.0,235458000.0,4,0,0.0,Active,Confirmed Accumulation,14.808679245283018,-23.8,Confirmed Accumulation,784.0,31.7,9.0,8.47,128.0,0.02,14.4,0.76,False,3.11,3.004,20,7,0,-2,25,Avoid
JAYSREETEA,JAY SHREE TEA & INDUSTRIES LTD,111816242.0,1263712.0,3,18-08-2026,1263712.0,3,111816242.0,88.48,0.0,0,11.18,111816242.0,0.0,111816242.0,0.0,False,False,False,94.88,112.7,70.55,50.68,89.37,86.65,24.9,7.2,7.2,17-08-2026,18-08-2026,88.49123585958849,88.23788546255507,88.48237731381833,1,24,23,0,0,3,3,3,0.0,0.0,111816242.0,111816242.0,111816242.0,0.0,111816242.0,1,0,0.0,Active,Confirmed Accumulation,88.48237731381833,7.2,Confirmed Accumulation,274.0,,6.0,5.54,-147.0,-2.14,0.93,1.09,False,2.73,4.08,20,0,30,-2,48,Watchlist
